Mã CK,IST,IST.1,IST.2,IST.3,IST.4,JOS,JOS.1,JOS.2,JOS.3,JOS.4,KGM,KGM.1,KGM.2,KGM.3,KGM.4,KTC,KTC.1,KTC.2,KTC.3,KTC.4,L43,L43.1,L43.2,L62,LIC,LIC.1,LIC.2,LIC.3,LIC.4,LLM,LLM.1,LLM.2,LLM.3,LLM.4,LMH,LMH.1,LMH.2,LMH.3,LMH.4,LPT,LPT.1,LPT.2,LPT.3,LPT.4,LSG,LSG.1,LSG.2,LSG.3,LSG.4,LTG,M10,M10.1,M10.2,M10.3,M10.4,MCH,MCH.1,MCH.2,MCH.3,MCH.4,MDF,MDF.1,MDF.2,MDF.3,MDF.4,MH3,MH3.1,MH3.2,MH3.3,MH3.4,MML,MML.1,MML.2,MML.3,MML.4,MPT,MPT.1,MPT.2,MPT.3,MPT.4,MTA,MTA.1,MTA.2,MTA.3,MTA.4,MVC,MVC.1,MVC.2,MVC.3,MVC.4,MZG
1. Doanh thu bán hàng và cung cấp dịch vụ 01,100359087182,118094216777,113249623298,218453303959,331702927257,6300161838,11319925495,8206631421,17620087333,25826718754,1607155999161,2306806705013,1671643746692,3913962704174,5585606453066,1388720069233,1620302787541,1273836192539,3009022856774,4282859049313,1444277711,4908408530,9069608660,26752388150,333824440273,526033678155,389373188501,859858118428,1583055747202,1650753831139,1694595332916,1747853247776,3345260756433,5093114004209,,,,,,132882599256,95259342959,71808997993,227586552215,299395550208,,,,,,3874144700078,1099788802289,892503050112,1361525887852,1992291852401,3353817740253,6638381059048,7448156132986,8054671620208,14086537192034,22141208812242,215637181263,239342716070,280774367118,454979897333,735754264451,21354168641,24383254614,22847172361,45737423255,68584595616,1733169465640,1799292581227,1946306791634,3532462046867,5478768838501,,,,,,329426045553,367443958110,383927675790,696870003663,1080797679453,124612245312,147296624574,141554472814,271908869886,413463342700,2032307691380
2. Các khoản giảm trừ doanh thu02,,,,,,,,,,,,1009800000,,1009800000,1009800000,25425017,47565004,98400636,72990021,171390657,,,,,125134521,203925507,13889,329073917,454222327,,,,,,,,,,,555390000,,,,,,,,,,25459318286,106974348,30636365,,13558563091,13558563091,57953750369,60614260163,67695977003,118568010532,186263987535,373497481,5625000,116560000,379122481,495682481,,,,,,13590647684,8831212262,10584139037,22421859946,33005998983,,,,,,13069650,696984492,548951469,710054142,1259005611,,,,,,1679262468
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ10,100359087182,118094216777,113249623298,218453303959,331702927257,6300161838,11319925495,8206631421,17620087333,25826718754,1607155999161,2305796905013,1671643746692,3912952904174,5584596653066,1388694644216,1620255222537,1273737791903,3008949866753,4282687658656,1444277711,4908408530,9069608660,26752388150,333699305752,525829752648,389373174612,859529044511,1582601524875,1650753831139,1694595332916,1747853247776,3345260756433,5093114004209,,,,,,132327209256,95259342959,71808997993,227586552215,299395550208,,,,,,3848685381792,1099681827941,892472413747,1361525887852,1978733289310,3340259177162,6580427308679,7387541872823,7986975643205,13967969181502,21954944824707,215263683782,239337091070,280657807118,454600774852,735258581970,21354168641,24383254614,22847172361,45737423255,68584595616,1719578817956,1790461368965,1935722652597,3510040186921,5445762839518,,,,,,329412975903,366746973618,383378724321,696159949521,1079538673842,124612245312,147296624574,141554472814,271908869886,413463342700,2030628428912
4. Giá vốn hàng bán 11,70590892182,87791912207,83143580082,158382804389,241526384471,6858063074,14589862188,8084948518,21447925262,29532873780,1466739908133,2094118687060,1538054421628,3560858595193,5098913016821,1334218116256,1560497038892,1223803895048,2894715155148,4118519050196,225823084,4894781825,6924858258,24628872176,296077944821,474857428990,331514012845,771141485339,1398733443005,1594622585635,1636819777377,1660189409111,3231698976025,4891888385136,,,,,,119141203295,85677555581,67432309915,204818758876,272251068791,,,,,,3602623246534,981346962327,760631000237,1207301309027,1741977962565,2949279271591,3504601831923,3971180336788,4250821102719,7475782168711,11726603271430,199413524441,211045078792,247410100596,412441910477,659852011073,14680654228,6546442697,15653664975,21238889425,36892554400,1319325819572,1362732793760,1417901303071,2682058613332,4099959916403,,,,,,308100892433,310345947497,320401547361,618446839930,938848387291,104338015429,111644442714,110063962873,212864869420,322928832293,1875653803199
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ20,29768195000,30302304570,30106043216,60070499570,90176542786,-557901236,-3269936693,121682903,-3827837929,-3706155026,140416091028,211678217953,133589325064,352094308981,485683636245,54476527960,59758183645,49933896855,114234711605,164168608460,1218454627,13626705,2144750402,2123515974,37621360931,50972323658,57859161767,88387559172,183868081870,56131245504,57775555539,87663838665,113561780408,201225619073,,,,,,13186005961,9581787378,4376688078,22767793339,27144481417,,,,,,246062135258,118334865614,131841413510,154224578825,236755326745,390979905571,3075825476756,3416361536035,3736154540486,6492187012791,10228341553277,15850159341,28292012278,33247706522,42158864375,75406570897,6673514413,17836811917,7193507386,24498533830,31692041216,400252998384,427728575205,517821349526,827981573589,1345802923115,,,,,,21312083470,56401026121,62977176960,77713109591,140690286551,20274229883,35652181860,31490509941,59044000466,90534510407,154974625713
6. Doanh thu hoạt động tài chính21,159694790,808962695,3006821313,968657485,3975478798,14397414,716754946,109931,731152360,731262291,12818751748,17567012895,9723623003,30385764643,40109387646,3512181526,10259014623,5102251679,13771196149,18873447828,373614,163006,708005,46564578,844351471,30390367245,84201310212,31299247438,116344909121,34440098458,58363038398,-21130947045,92803136856,71672189811,176546,645147,652004,1159408,1812094,438160,373379,3161046,811539,3972585,25330671470,26065454443,29022442103,51396125913,80418568016,32915218126,28072308634,28383206111,19693712983,56455514745,76149227728,445985645111,455028123862,471164507760,901013768973,1372178276733,1355302998,1485796793,144351800,2852216756,2996568556,10997387986,14797592624,4105228329,25794980610,29900208939,60573087364,60318900376,63052159875,120891987740,183944147615,15013072,9719156,1735008,24732228,26467236,3074368859,7292097544,690542084,10366466403,11057008487,3899096124,3287288993,7866589784,7186385117,15052974901,8506433052
7. Chi phí tài chính 22,644584599,644040615,565028711,1288625214,1853653925,187689,20042271024,,20042458713,20042458713,12981827385,25789605642,17044241986,38771433027,55815675013,8700197443,13963016731,13551704470,22663214174,36214918644,1183436400,1224567321,3596637587,14190082345,36287224125,43629049875,42054690153,79032585453,157374499731,38081765115,28985664604,39675552003,67067429719,106742981722,799697584,799738246,864142323,2760597043,4211679963,102897955,92453288,26338356,195351243,221689599,22961330313,24120486454,26164222786,47224557941,73388780727,188621326395,13985206951,65265777152,28067380052,35048366823,63115746875,83443901035,78208930370,89393495065,161652831405,251046326470,7044385790,6584829895,7783725218,13629215685,21412940903,,,,,,107959462936,99034011650,96821424387,206993474586,303814898973,,,,,,2576363802,5014123980,2941989018,7833037664,10532476800,3108475685,3212063803,3134456387,6320539488,9454995875,98877837931
Trong đó :Chi phí lãi vay23,644584599,644040615,551385428,1288625214,1840010642,,15556078868,,15556078868,15556078868,9429712808,20591843808,14454176000,30021556616,44475732616,8600403365,4421250955,9935396984,21622057685,31557454669,1183436400,1224567321,3596637587,13108903725,36281618707,41944024215,41750257312,78228632850,156260508869,24494754786,24687675891,23229495519,49182430677,72411926196,799404947,,808189615,1598809892,2406999507,102897955,92453288,,195351243,,22961330313,24120486454,26164222786,47224557941,73388780727,126879600330,7615616456,7898661207,5998446395,15514277663,21512724058,75833235658,60940943683,78322809083,136774179341,215096988424,6966630575,6483078786,5908439961,13449709361,19358149322,,,,,,102717133578,93854084951,91600331121,196571218529,288171549650,,,,,,2576363802,2556285992,2337297595,5132649794,7469947389,3107396755,3212063803,3134456387,6319460558,9453916945,84210023912
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết24",,,,,,,,,,,,,,,,5427173815,3531674385,1582624883,8958848200,10541473083,,,,,15471131128,-376581741,-4186659771,14144540811,25429012168,-4025460931,-5447781779,-2076800844,-8882243679,-10959044523,,,,,,,,,,,,,,,,19235809323,,,,,,12451327193,17537949674,17537949674,29989276867,47527226541,,,,,,,,,,,,,,,,,,,,,,,,,,2040613011,9470339817,2775079429,11510952828,14286032257,
9. Chi phí bán hàng25,667063798,192173367,878527947,859237165,1737765112,299473540,476264401,157967231,775737941,933705172,126476227890,178601649217,106497096760,305077877107,411574973867,28041179483,36533328052,29332977230,64574507535,93907484765,,,,,9277777772,8985348776,13746283024,18263126548,41287187344,,,,,,,981481,,981481,981481,676545733,261072291,443987567,937618024,1381605591,,,,,,137073870302,41736487395,27178405890,47436012994,76670563887,124106576881,1357854697331,1512414981528,1545233065553,2870269678859,4415502744412,17758582740,17508873384,14775271354,35267456124,50042727478,24086140,24086140,24086140,48172280,72258420,314364724404,337439831721,380574622784,651804556125,1032379178909,,,,,,7289950563,8601775431,7247727040,15891725994,23139453034,3411974329,6332631757,5647393413,10413434459,16060827872,25052997878
10. Chi phí quản lý doanh nghiệp26,9310248293,6115583177,10136379410,15425831470,25562210880,970473520,501575764,844894679,1472049284,2316943963,9768788733,17183288975,18263860128,26952077708,45215937836,14094833265,12556722299,10170553047,26651555564,36822108611,1219636243,1153621997,3662200607,585654938,30530598974,33859588584,33830040673,64184076030,128544715677,13615862826,61742260541,14292854273,75473431466,89766285739,5000000,179437425,78673725,223803425,302477150,1352249932,2410173552,1838520383,3762423484,5600943867,2545681981,2570300717,2777374544,5199682698,7977057242,104763980182,53398968546,41193290512,59396322226,117618253358,177014575584,204908488082,264607241995,209818134597,469515730077,679333864674,3457538863,4418305367,3187705144,7875844230,11063549374,4412038646,5743986682,3807861240,9478723171,13286584411,82014844329,84853358065,92033914492,166868502394,258902416886,94595050,140398728,98888715,234993778,333882493,18334113975,25338788696,17568425797,43672902671,61241328468,7600973459,9050916623,6311569604,16805702727,23117272331,15583475307
11. Lợi nhuận thuần từ hoạt động kinh doanh30,19305993100,24159470106,21532928461,43465463206,64998391667,-1813638571,-23573292936,-881069076,-25386931507,-26268000583,4007998768,7670687014,1507749193,11678685782,13186437175,12579673110,10495805571,3563538670,23075478681,26639017351,-1184244402,-2364399607,-5113379787,-12605656731,-22158757341,-5487878073,48242798358,-27648440610,-1564399593,34848255090,19962887013,10487684500,54941812400,65429496900,-804521038,-979512005,-942164044,-2984222541,-4513326500,11054750501,6818461626,2071002818,17873212127,19944214945,-176340824,-625332728,80844773,-1028114726,-947269953,-132246014172,37286511356,26587146067,39018576536,63873657422,102892233959,1888055362612,2033696455678,2380412302705,3921751818290,6302164120995,-11055045054,1265800425,7645356606,-11761434908,-4116078302,13234777613,26866331719,7466788335,40766618989,48233407324,-43512945921,-33279725855,11443547738,-76792971776,-65349424038,-79581978,-130679572,-97153707,-210261550,-307415257,-3813976011,24738435558,35909577189,20681909665,56834036736,12092515545,29814198487,27038759750,44201661737,71240421487,23966747649
12. Thu nhập khác31,48899102,33948987,53746620,82848089,136594709,,,,,,13505,12682,12935,26187,39122,3703872414,247065473,1562389794,3950937887,5513327681,884304331,,949119146,58842013,16467903842,1751558061,1937512405,17874373584,36279789831,1745319933,1078719667,4794669311,4272623669,9067292980,,,,,,246888181,,,116360862,246888181,1151120,1000000,,2151120,2151120,48972493634,117515303,514843740,294182142,632359043,926541185,608888648,2274611297,203149863,2883499945,3086649808,393600000,5012596572,76033539,5406196572,5482230111,152478272,20129593,152572630,172607865,325180495,1057946500,434660695,16480772357,1492607195,17973379552,,,,,,490407488,3280704674,1656177101,3681938071,5427289263,166025,33534808,1072253,33700833,34773086,1176168843
13. Chi phí khác32,14709406,96166198,388002,110875604,111263606,,501280,,501280,501280,19076045,102479198,,121555243,121555243,17738839,4794804,12792716,22533643,35326359,120137787,6000000,126137787,1721864202,13525867458,11703680984,5116884655,24884460123,43527212236,1256676327,1886015174,1349057987,3142691501,4491749488,580560807,580560807,586940597,,,135125440,3113575,,7711696,138239015,258521,25000000,,25258521,25258521,2136478045,1376007440,465414114,510692052,1841421554,2352113606,1387150700,540414947,3684264729,1927565647,5611830376,81063160,174392577,108895545,255455737,364351282,,30068039,99912610,30068039,129980649,1985442326,1958643283,2447241616,3943785609,6391027225,29250000,29250000,29250000,58500000,87750000,79908108,1208503406,311881155,1199237423,1600292669,46934172,42874972,791537,89809144,90600681,157599217
14. Lợi nhuận khác40,34189696,-62217211,53358618,-28027515,25331103,,-501280,,-501280,-501280,-19062540,-102466516,12935,-121529056,-121516121,3686133575,242270669,1549597078,3928404244,5478001322,764166544,-6000000,822981359,-1663022189,2942036384,-9952122923,-3179372250,-7010086539,-7247422405,488643606,-807295507,3445611324,1129932168,4575543492,-580560807,-580560807,-586940597,,,111762741,-3113575,,108649166,108649166,892599,-24000000,,-23107401,-23107401,46836015589,-1258492137,49429626,-216509910,-1209062511,-1425572421,-778262052,1734196350,-3481114866,955934298,-2525180568,312536840,4838203995,-32862006,5150740835,5117878829,152478272,-9938446,52660020,142539826,195199846,-927495826,-1523982588,14033530741,-2451178414,11582352327,-29250000,-29250000,-29250000,-58500000,-87750000,410499380,2072201268,1344295946,2482700648,3826996594,-46768147,-9340164,280716,-56108311,-55827595,1018569626
"Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15. Tổng lợi nhuận kế toán trước thuế50,19340182796,24097252895,21586287079,43437435691,65023722770,-1813638571,-23573794216,-881069076,-25387432787,-26268501863,3988936228,7568220498,1507762128,11557156726,13064921054,16265806685,10738076240,5113135748,27003882925,32117018673,-420077858,-2370399607,-4290398428,-14268678920,-19216720957,-15440000996,45063426108,-34658527149,-8811821998,35336898696,19155591506,13933295824,56071744568,70005040392,-1385081845,-1560072812,-1529104641,-2984222541,-4513326500,11166513242,6815348051,2071002818,17981861293,20052864111,-175448225,-649332728,80844773,-1051222127,-970377354,-85409998583,36028019219,26636575693,38802066626,62664594911,101466661538,1887277100560,2035430652028,2376931187839,3922707752588,6299638940427,-10742508214,6104004420,7612494600,-6610694073,1001800527,13387255885,26856393273,7519448355,40909158815,48428607170,-44440441747,-34803708443,25477078479,-79244150190,-53767071711,-108831978,-159929572,-126403707,-268761550,-395165257,-3403476631,26810636826,37253873135,23164610313,60661033330,12045747398,29804858323,27039040466,44145553426,71184593892,24985317275
16. Chi phí thuế TNDN hiện hành51,3868036559,4819450579,4317257416,8687487138,13004744554,,,,,,797787246,1513644099,301552866,2311431345,2612984211,2149430496,1476525328,325801332,3625955824,3951757156,,,,,392141204,1703163116,2967599518,2095240588,5454981310,,267503598,869277764,267503598,1136781362,,,17926510,,,,2236068481,281945835,2236068481,2518014316,,,,,,8636361106,6396796154,10215189795,6906481499,16611985949,23518467448,254111705847,199354834530,328789029653,453466540377,782255570030,,,,,,2694202624,5449702103,1530596514,8277006659,9807603173,5704032404,4360342510,6596911127,10064374914,16661286041,,,,,,1786240296,2813236929,4101346386,4599477225,8700823611,2070770677,3748398384,3912920725,6308921131,10221841856,244007116
17. Chi phí thuế TNDN hoãn lại52,,,,,,,,,,,,,,,,,,,,,,,,,-4545455,,,-4545455,-9090910,1439995939,1275313812,387120306,2707319426,3094439732,,,,,,,,,,,50000000,-25000000,,25000000,25000000,1229950706,,,,,,-36187930061,47193429896,-46288017109,11005499835,-35282517274,,,,,,,,,,,-2980424347,-6850920320,-652116860,-9831344667,-10483461527,,,,,,,-904276247,,-904276247,-904276247,,347855600,,347855600,347855600,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp60,15472146237,19277802316,17269029663,34749948553,52018978216,-1813638571,-23573794216,-881069076,-25387432787,-26268501863,3191148982,6054576399,1206209262,9245725381,10451936843,14116376189,9261550912,4787334416,23377927101,28165261517,-420077858,-2370399607,-4290398428,-14268678920,-19604316706,-17143164112,42095826590,-36749222282,-14257712398,33896902757,17612774096,12676897754,53096921544,65773819298,-1385081845,-1560072812,-1547031151,-2984222541,-4513326500,11166513242,4579279570,1789056983,15745792812,17534849795,-225448225,-624332728,80844773,-1076222127,-995377354,-95276310395,29631223065,16421385898,31895585127,46052608962,77948194090,1669353324774,1788882387602,2094430175295,3458235712376,5552665887671,-10742508214,6104004420,7612494600,-6610694073,1001800527,10693053261,21406691170,5988851841,32632152156,38621003997,-47164049804,-32313130633,19532284212,-79477180437,-59944896225,-108831978,-159929572,-126403707,-268761550,-395165257,-5189716927,24901676144,33152526749,19469409335,52864485966,9974976721,25708604339,23126119741,37488776695,60614896436,24741310159
Lợi ích của cổ đông thiểu số,,,,,,,,,,,,,,,,1798504,1732288,2728226,3530792,6259018,,,,,-318940247,1234071223,11009487538,840868109,11531415400,-2063053648,-2943701309,-2251233503,-4937466416,-7188699919,,,,,,,,,,,,,,,,309024389,,,,,,,32297413908,22131898800,56469691313,78601590113,,,,,,,,,,,-4396740330,-1335925015,17519228764,-5732665345,11786563419,,,,,,217156089,13836299381,14882834452,14053455470,28936289922,,,,,,
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,15472146237,19277802316,17269029663,34749948553,52018978216,-1813638571,-23573794216,-881069076,-25387432787,-26268501863,3191148982,6054576399,1206209262,9245725381,10451936843,14114577685,9259818624,4784606190,23374396309,28159002499,-420077858,-2370399607,-4290398428,-14268678920,-19285376459,-18377235335,31086339052,-37590090391,-25789127798,35959956405,20556475405,14928131257,58034387960,72962519217,-1385081845,-1560072812,-1547031151,-2984222541,-4513326500,11166513242,4579279570,1789056983,15745792812,17534849795,-225448225,-624332728,80844773,-1076222127,-995377354,-95585334784,29631223065,16421385898,31895585127,46052608962,77948194090,1669353324774,1756584973694,2072298276495,3401766021063,5474064297558,-10742508214,6104004420,7612494600,-6610694073,1001800527,10693053261,21406691170,5988851841,32632152156,38621003997,-42767309474,-30977205618,2013055448,-73744515092,-71731459644,-108831978,-159929572,-126403707,-268761550,-395165257,-5406873016,11065376763,18269692297,5415953865,23928196044,9974976721,25708604339,23126119741,37488776695,60614896436,24741310159
19. Lãi cơ bản trên cổ phiếu,1039,1294,1160,2333,3493,-121,-1567,-59,-1688,-1746,125,238,47,364,411,387,254,131,641,772,-120,-677,-1226,,,,,-418,,451,258,187,728,915,-54,-61,-60,-116,-176,,,,1312,,,,,-12,,-815,,,,1233,,2293,2448,2886,4742,7623,-195,111,138,-120,18,446,1784,250,1329,1609,-131,-95,6,-225,-219,,,,-16,,,100,166,49,217,91,234,210,341,551,248
20. Lãi suy giảm trên cổ phiếu71,,,,2333,,,,,,,,,,,,,,,,,,,,,,,,-418,,,,,,,,-61,-60,-116,-176,,,,1312,,,,,-12,,,,,,,,,,,,,-195,111,138,,18,,,,,,,,,,,,,,,,,100,166,49,217,91,234,210,341,551,248
LƯU CHUYỂN TIỀN TỆ GIÁN TIẾPMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Lợi nhuận trước thuế01,,,,43437435691,,-1813638571,,,-25387432787,-26268501863,3191148982,,,11557156726,13064921054,16265806685,,,27003882925,32117018673,-420077858,,-4290398428,,-19216720957,,,-34658527149,-8811821998,35336898696,,,56071744568,70005040392,-1385081845,,,-2984222541,-4513326500,11166513242,,,17981861293,20052864111,,,,-1051222127,,-86409998583,,,,62664594911,,1887277100560,,,3922707752588,6299638940427,,,,,,,,,,,-44440441747,,,-79244150190,-53767071711,-108831978,,,-268761550,-395165257,-3403476631,26810636826,37253873135,23164610313,60661033330,,,,,,24985317275
2. Điều chỉnh cho các khoản,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khấu hao TSCĐ và BĐSĐT02,,,,17767017477,,25254861,,,32348803,4069777,7548111328,,,13848166931,13892112774,6597248015,,,12525515520,17958686557,610893423,,1597238519,,10866614424,,,21163304764,29739791831,4342249461,,,8573335134,12570499354,,,,,,1476580561,,,2957961568,4454649652,,,,72925566,,62129912497,,,,41288388348,,172366188732,,,342671634144,511483196086,,,,,,,,,,,106352901966,,,211324531098,317562592928,29250000,,,58500000,87750000,15997114024,15826013941,15734270488,31823127965,47557398453,,,,,,60694925163
Các khoản dự phòng03,,,,11570622203,,,,,,,,,,12447283956,12447283956,-3000000,,,2376570000,-73330000,,,,,-5402291398,,,-5611848152,446877087,-5250836409,,,42226121836,36051389689,,,,,,,,,,,,,,,,-20709371628,,,,29325630013,,20744855336,,,37323315458,75802600060,,,,,,,,,,,-12251634763,,,-4359184173,-10121804485,,,,,,1801318797,2251491159,-4182393878,4295359838,-129583922,,,,,,
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệchưa thực hiện04",,,,-1521941,,,,,4484356598,,2103055233,,,891744827,-1718942604,,,,,,,,,,,,,2084045,2084045,-14464774430,,,-45620073127,-6491943294,,,,,,,,,,,,,,,,3470252141,,,,3497948867,,3282764829,,,1252303716,660270942,,,,,,,,,,,21104633,,,42542392,78925228,,,,,,-2444865895,-2279494011,-204504096,-4724359906,-4928864002,,,,,,4688816536
"Lãi, lỗ từ hoạt động đầu tư05",,,,-953883130,,-116518,,,-717087360,-109931,-43524935,,,-122014584,-137043074,-8998560420,,,-12546779881,-12675403802,-772540158,,-837689364,,-844351471,,,-56918316664,-116344909121,-8757574762,,,-20809323874,-31506217624,-176546,,,-1159408,-1812094,,,,-112102401,130527319,,,,-51396125913,,-62725417061,,,,-9005307608,,-438666243708,,,-916645411077,-1390707097559,,,,,,,,,,,-33475578283,,,-66354679408,-118305441333,-15013072,,,-24732228,-26467236,-839974620,-4013465861,-625346583,-4853440481,-5478787064,,,,,,-5717631512
Chi phí lãi vay06,,,,1288625214,,,,,15556078868,,9429712808,,,30021556616,44475732616,8600403365,,,21622057685,31557454669,1183436400,,3596637587,,36281618707,,,78228632850,156260508869,24494754786,,,49182430677,72411926196,799404947,,,1598809892,2406999507,,,,195351243,,,,,47224557941,,126879600330,,,,15514277663,,77062985656,,,139265679337,219135163751,,,,,,,,,,,104502813075,,,200142577523,293528588141,,,,,,2576363802,2556285992,2337297595,5132649794,7469947389,,,,,,84210023912
"Lãi, lỗ do thanh lý TSCĐ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556802391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu nhập lãi vay và cổ tức,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12451327193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phân bổ lợi thế thương mại,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Điều chỉnh cho các khoản khác,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1635778074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3144904500,-5249997527,-18383120,-2105093027,-2123476147,,,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động08,,,,73108295514,,-1788500228,,,-6031735878,-26264542017,22228503416,,,68643894472,82024064722,22461897645,,,50981246249,68884426097,601711807,,65788314,,21684869305,,,2205329694,61292530713,35700717342,,,89624235214,153040694713,1049924631,,,-1386572057,-2108139087,12643093803,,,21023071703,24638041082,,,,-5149864533,,22634977696,,,,143285532194,,1710173126603,,,3526575274166,5716013073707,,,,,,,,,,,120709164881,,,261551637242,428975788768,-94595050,,,-234993778,-333882493,16831383977,35901470519,50294813541,52732854496,103027668037,,,,,,168861451374
"Tăng, giảm các khoản phải thu09",,,,6519570967,,1573400317,,,595453138,1078420235,57482300911,,,-149359145985,-222966066277,-203297255701,,,-67214730788,-99765427051,-1678299117,,2324932018,,148712572944,,,32380725706,-31301471391,-102305306833,,,-134502815028,-283608516237,,,,28454052,22526817703,1493480854,,,91545040426,104083528795,,,,-743487691,,12432611870,,,,-177912453952,,-174503475403,,,58040230838,48619861962,,,,,,,,,,,93455112598,,,111009208215,39141262986,-14993991,,,-27912209,2989036,-78362192,-9876325648,-13944960777,-9954687840,-23899648617,,,,,,-135902882206
"Tăng, giảm hàng tồn kho10",,,,,,-1682200381,,,5341111177,5694544521,-1439130091454,,,-683039107046,-838729315881,-243150364867,,,-211594641354,-102419923519,-1087514876,,-3192141221,,-19687451263,,,65858966294,-10386296646,-4916368511,,,78268183171,59167435799,,,,981481,981481,-5258178701,,,-5622893565,-7175942475,,,,-34620902942,,-826685705399,,,,-157538504665,,-279905517754,,,-283451451854,-548608048652,,,,,,,,,,,27130193118,,,22342431130,-22853161805,,,,,,12115300130,-8510177983,1673407946,3605122147,5278530093,,,,,,-43153139661
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)11",,,,7112724470,,855194210,,,-1821850010,18369367587,-9416869629,,,-114720336171,-159786701329,575011743,,,-7494025303,62814836669,-6535676870,,-2814094248,,-99071538562,,,-20387000878,121816367945,-239069641879,,,-235439507481,346348760969,-1139295272,,,959807561,1578198066,-211226114,,,-100924445479,-111813244789,,,,32100069954,,536494970520,,,,143377220470,,-304395797687,,,-262358146001,345703826411,,,,,,,,,,,-27140765289,,,96581168308,255973500306,363000,,,3416500,-986048,-27417502879,31227476490,15328153981,3809973611,19138127592,,,,,,57675403632
"Tăng, giảm chi phí trả trước12",,,,-17004955823,,34296336,,,-97198995,-41277660,-6267914385,,,486869945,2011647563,-273779693,,,227106250,1654691255,-42835500,,42835500,,-2347188004,,,-2312033542,-1657424144,10547507106,,,18909618862,32394703044,,,,7681170,7681170,446295870,,,292086457,684141185,,,,-1828481778,,-6280445400,,,,4842308964,,8807648762,,,12200589514,28368945539,,,,,,,,,,,30496953877,,,44806490046,43073538774,-5080200,,,-1439072,-3579590,-2243912237,-3962062491,9345045265,-6205974728,3139070537,,,,,,-1360393691
"Tăng, giảm chứng khoán kinh doanh13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1376235525558,,,1376235525558,1376235525558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiền lãi vay đã trả13,,,,-1302989308,,,,,,,-7986668080,,,-29330366091,-43623527658,-8075369571,,,-28316854311,-31562142169,6380834096,,-121578083,,-36281618707,,,-31434916747,-156262592914,-22560709271,,,-46102808964,-67385786973,,,,,,,,,-201123298,,,,,-87286545465,,-134385941240,,,,-15053327250,,-79776897159,,,-141535419793,-247582139443,,,,,,,,,,,-158560486720,,,-208560103712,-359674188085,,,,,,-2889946078,-5732630296,-2130002996,-8622576374,-10752579370,,,,,,-84987671895
Thuế thu nhập doanh nghiệp đã nộp14,,,,-7283460276,,,,,,,-5893953497,,,-6691740743,-6691740743,-321871491,,,-2999105457,-5378710548,,,,,-387595749,,,-14050002500,-5445890400,-824501004,,,-925555400,-1998971634,,,,-18181818,-18181818,-800000000,,,-800000000,-1400000000,,,,-1298885246,,-11132987131,,,,-12622281806,,-475326768536,,,-680821146013,-723995223901,,,,,,,,,,,-5359049906,,,-10910581385,-10910581385,,,,-200000000,-400000000,-4695906899,-4665692293,-1711925323,-4665692293,-6377617616,,,,,,
Tiền thu khác từ hoạt động kinh doanh15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4695906899,,,,,,,,,
