Time,ValueTrading,VolumeTrading,Symbol
2024-11-14,18.5,0,NAV
2024-11-14,24.65,"28,300",NBB
2024-11-14,113,"7,900",NCT
2024-11-14,25.5,"837,700",NHA
2024-11-14,13.5,"279,000",NHH
2024-11-14,11.1,500,NHT
2024-11-14,19.85,"6,654,100",NKG
2024-11-14,38.6,"639,600",NLG
2024-11-14,20.7,"31,400",NNC
2024-11-14,10.45,"751,900",NO1
2024-11-14,79.5,0,NSC
2024-11-14,18.6,"90,900",NT2
2024-11-14,18,"3,133,100",NTL
2024-11-14,10.8,"6,726,000",NVL
2024-11-14,7.84,300,NVT
2024-11-14,10.5,"3,213,200",OCB
2024-11-14,3.91,"151,000",OGC
2024-11-14,23,"2,400",OPC
2024-11-14,12.8,"6,185,500",ORS
2024-11-14,36.2,"6,500",PAC
2024-11-14,22.7,"1,509,000",PAN
2024-11-14,22.95,"1,635,700",PC1
2024-11-14,110.8,"1,400",PDN
2024-11-14,20.5,"4,580,600",PDR
2024-11-14,26.5,"1,283,800",PET
2024-11-14,15.1,"52,100",PGC
2024-11-14,32.95,200,PGD
2024-11-14,23,400,PGI
2024-11-14,19.25,"8,300",PGV
2024-11-14,5.51,"11,600",PHC
2024-11-14,56.2,"210,400",PHR
2024-11-14,5.28,800,PIT
2024-11-14,9.65,0,PJT
2024-11-14,4.49,"13,400",PLP
2024-11-14,38.95,"867,400",PLX
2024-11-14,8.4,0,PMG
2024-11-14,18.4,0,PNC
2024-11-14,93,"383,300",PNJ
2024-11-14,11.5,"5,168,600",POW
2024-11-14,11.3,"170,700",PPC
2024-11-14,3.85,"1,545,100",PSH
2024-11-14,62.2,"296,900",PTB
2024-11-14,4.68,"1,800",PTC
2024-11-14,2.65,"19,900",PTL
2024-11-14,23.2,"2,559,800",PVD
2024-11-14,16.25,"332,100",PVP
2024-11-14,27.9,"3,284,900",PVT
2024-11-14,13.1,"1,085,700",QCG
2024-11-14,36,"2,400",QNP
2024-11-14,125.8,"17,900",RAL
2024-10-31,1.85,"172,600",RDP
2024-11-14,65,"527,300",REE
2024-11-14,41.2,100,S4A
2024-11-14,56.1,"298,700",SAB
2024-11-14,6.44,"294,100",SAM
2024-11-14,20.4,"19,900",SAV
2024-11-14,29.8,"44,600",SBA
2024-11-14,10.15,"120,100",SBG
2024-11-14,12.2,"1,055,700",SBT
2024-11-14,10.2,100,SBV
2024-11-14,21,"1,600",SC5
2024-11-14,5.12,"1,076,200",SCR
2024-11-14,80,"322,800",SCS
2024-11-14,24.9,"1,800",SFC
2024-11-14,10.7,"64,300",SFG
2024-11-14,31.15,"4,100",SFI
2024-11-14,77.5,"6,700",SGN
2024-11-14,39.6,"133,000",SGR
2024-11-14,15.1,"41,000",SGT
2024-11-14,4.19,"19,700",SHA
2024-11-14,10.35,"9,471,300",SHB
2024-11-14,14.6,"101,300",SHI
2024-11-14,35.2,"1,000",SHP
2024-11-14,82,"405,300",SIP
2024-11-14,16.6,"332,600",SJD
2024-11-14,61.8,"4,900",SJS
2024-11-14,10.7,"96,500",SKG
2024-11-14,10.75,0,SMA
2024-11-14,38.9,"23,500",SMB
2024-11-14,6.69,"226,600",SMC
2024-11-14,10.6,300,SPM
2024-11-14,27.25,600,SRC
2024-11-14,8.41,"5,000",SRF
2024-11-14,16.75,"1,872,500",SSB
2024-11-14,38,0,SSC
2024-11-14,24.7,"12,754,600",SSI
2024-11-14,7.5,"380,600",ST8
2024-11-14,32.5,"9,004,900",STB
2024-11-14,41.1,0,STG
2024-11-14,25.05,"64,400",STK
2024-11-14,23.9,200,SVC
2024-11-14,3.25,"49,200",SVD
2024-11-14,62.5,0,SVI
2024-11-14,11.4,200,SVT
2024-11-14,41.3,"2,997,000",SZC
2024-11-14,42,"6,600",SZL
2024-11-14,40,"1,800",TBC
2024-11-14,22.8,"7,429,400",TCB
2024-11-14,4.63,"824,200",TCD
2024-11-14,14.5,"3,426,400",TCH
2024-11-14,7.98,"44,100",TCI
2024-11-14,34.75,"10,800",TCL
2024-11-14,46.9,"2,194,400",TCM
2024-11-14,19.9,"215,600",TCO
2024-11-14,3.55,800,TCR
2024-11-14,16.5,"1,400",TCT
2024-11-14,9.95,"296,100",TDC
2024-11-14,3.72,"22,200",TDG
2024-11-14,2.44,"290,500",TDH
2024-11-14,49.5,"1,100",TDM
2024-11-14,33.4,"90,800",TDP
2024-11-14,47,0,TDW
2024-11-14,8.39,"3,800",TEG
2024-11-14,43.6,"4,900",THG
2024-11-14,22.45,"149,100",TIP
2024-11-14,36,"3,000",TIX
2024-11-14,5.84,"118,000",TLD
2024-11-14,56.5,"293,900",TLG
2024-11-14,4.7,"195,300",TLH
2024-11-14,68.5,200,TMP
2024-11-14,43,"1,700",TMS
2024-11-14,6.8,"30,500",TMT
2024-11-14,10.5,200,TN1
2024-11-14,34.1,0,TNC
2024-11-14,20.7,"1,078,300",TNH
2024-11-14,2.26,"83,700",TNI
2024-11-14,4.33,"395,300",TNT
2024-11-14,15.75,"10,651,400",TPB
2024-11-14,6.3,0,TPC
2024-11-14,76.5,800,TRA
2024-11-14,46.8,"120,700",TRC
2024-11-14,2.47,"562,400",TSC
2024-11-14,10.2,"2,099,000",TTA
2024-11-14,33.25,800,TTE
2024-11-14,3.12,"736,500",TTF
2024-11-14,31,"415,600",TV2
2024-11-14,8.9,"48,300",TVB
2024-11-14,20.9,"80,700",TVS
2024-11-14,15.9,400,TVT
2024-11-14,14.2,0,TYA
2024-11-14,41.5,500,UIC
2024-11-14,15,0,VAF
2024-11-14,8.6,0,VCA
2024-11-14,92,"1,719,700",VCB
2024-11-14,213.3,300,VCF
2024-11-14,17.2,"1,885,700",VCG
2024-11-14,32.95,"12,275,300",VCI
2024-11-14,34,100,VDP
2024-11-14,18.45,"1,435,500",VDS
2024-11-14,87.6,"22,100",VFG
2024-11-14,43.3,"3,523,800",VGC
2024-11-14,73.8,"1,255,500",VHC
2024-11-14,40.35,"16,947,200",VHM
2024-11-14,18.2,"8,002,200",VIB
2024-11-14,40.7,"1,968,300",VIC
2024-11-14,5.29,600,VID
2024-11-14,14,"428,300",VIP
2024-11-14,9.92,"20,729,900",VIX
2024-11-14,103.3,"665,000",VJC
2024-11-14,18.8,800,VMD
2024-11-14,14,"7,889,000",VND
2024-11-14,3.7,"39,300",VNE
2024-11-14,7.95,"4,200",VNG
2024-11-14,16.15,"4,600",VNL
2024-11-14,65,"1,779,900",VNM
2024-11-14,10.25,"3,400",VNS
2024-11-14,16.8,"5,766,500",VOS
2024-11-14,19,"12,405,400",VPB
2024-11-14,26.95,"2,400",VPD
2024-11-14,12.35,"286,500",VPG
2024-11-14,7.1,"124,100",VPH
2024-11-14,57.2,"1,276,500",VPI
2024-11-14,8.75,"2,100",VPS
2024-11-14,8.58,"46,700",VRC
2024-11-14,18.1,"11,403,800",VRE
2024-11-14,17.9,"14,992,300",VSC
2024-11-14,50.7,"4,100",VSH
2024-11-14,17.5,600,VSI
2024-11-14,10.4,"14,300",VTB
2024-11-14,13.4,"890,600",VTO
2024-11-14,114.5,"788,300",VTP
2024-11-14,11,0,YBM
2024-11-14,11.6,"2,668,800",YEG
2024-11-18,6.1,"590,019",AAV
2024-11-18,20,127,ADC
2024-11-18,13.3,100,ALT
2024-11-18,16.9,100,AMC
2024-11-18,5,0,AME
2024-11-18,1.6,0,AMV
2024-11-18,7.2,"370,881",API
2024-11-18,6.4,"288,179",APS
2024-11-18,29.7,0,ARM
2024-11-14,12.9,200,ATS
2024-11-14,11.8,"6,515",BAB
2024-11-14,39.9,405,BAX
2024-11-14,9.4,"2,500",BBS
2024-11-14,7.7,"49,902",BCC
2024-11-14,40,11,BCF
2024-11-14,8.7,0,BDB
2024-11-14,30.8,0,BED
2024-11-14,10.7,"3,100",BKC
2024-11-14,9.8,"91,306",BNA
2024-11-14,9.2,"9,400",BPC
2024-11-14,14.6,0,BSC
2024-11-14,13.5,"2,500",BST
2024-11-14,5.1,"6,911",BTS
2024-11-14,39.6,23,BTW
2024-11-14,38.8,"763,085",BVS
2024-11-14,15.5,100,BXH
2024-11-14,6.5,"184,735",C69
2024-11-14,7.3,"6,802",CAG
2024-11-14,49.5,300,CAN
2024-11-14,44.5,"16,906",CAP
2024-11-14,19.9,800,CAR
2024-11-14,13.8,800,CCR
2024-11-14,30.9,"1,500",CDN
2024-11-14,14.5,"2,856,370",CEO
2024-11-14,4.9,100,CET
2024-11-14,9.4,"7,100",CIA
2024-11-14,25.8,0,CJC
2024-11-14,12.9,500,CKV
2024-11-14,22,600,CLH
2024-11-14,74.3,0,CLM
2024-11-14,6.7,21,CMC
2024-11-14,10.4,"80,844",CMS
2024-11-14,17.9,800,CPC
2024-11-14,25.4,"32,553",CSC
2024-11-14,21.3,0,CTB
2024-11-14,1.3,0,CTC
2024-11-14,35.4,"51,743",CTP
2024-11-14,16.5,0,CTT
2024-11-14,1.9,0,CVN
2024-11-14,6.8,0,CX8
2024-11-14,10.6,"4,092",D11
2024-11-14,19.5,300,DAD
2024-11-14,15.5,"3,000",DAE
2024-11-14,6.9,"16,277",DC2
2024-11-14,2.9,"159,436",DDG
2024-11-14,11.3,400,DHP
2024-11-14,69.2,"32,300",DHT
2024-11-14,15.2,"15,845",DIH
2024-11-14,6,"341,181",DL1
2024-11-14,77.2,200,DNC
2024-11-14,21,"52,700",DNP
2024-11-14,58,"5,901",DP3
2024-11-14,5.3,0,DS3
2024-11-14,3,"54,900",DST
2024-11-14,4.4,"13,789",DTC
2024-11-14,27,"1,575,563",DTD
2024-11-14,23.4,"4,400",DTG
2024-11-14,12.7,0,DTK
2024-11-14,8.3,"168,813",DVM
2024-11-14,12.1,"808,533",DXP
2024-11-14,10.8,300,EBS
2024-11-14,24.5,0,ECI
2024-11-14,27,"3,100",EID
2024-11-14,5.1,"72,780",EVS
2024-11-14,1.3,0,FID
2024-11-14,28,"1,000",GDW
2024-11-14,14.8,0,GIC
2024-11-14,6.3,"444,148",GKM
2024-11-14,29,"2,000",GLT
2024-11-14,53.6,0,GMA
2024-11-14,19,0,GMX
2024-11-14,15.5,0,HAD
2024-11-14,42.1,"1,142",HAT
2024-11-14,7.3,"42,908",HBS
2024-11-14,12.1,0,HCC
2024-11-14,9.6,0,HCT
2024-11-14,3.7,"48,600",HDA
2024-11-14,21.9,0,HEV
2024-11-14,145.5,"9,202",HGM
2024-11-14,111,"1,800",HHC
2024-11-14,32.9,0,HJS
2024-11-14,8.6,0,HKT
2024-11-14,12.1,100,HLC
2024-11-14,26.9,"7,600",HLD
2024-11-14,13.9,20,HMH
2024-11-14,10.7,"6,822",HMR
2024-11-14,3.7,"15,202",HOM
2024-11-14,31.5,"1,600",HTC
2024-11-14,16.2,"1,755,712",HUT
2024-11-14,95,"33,021",HVT
2024-11-14,6.7,100,ICG
2024-11-14,56.4,"1,234,403",IDC
2024-11-14,5.9,"1,730,558",IDJ
2024-11-14,37.4,"15,500",IDV
2024-11-14,33.3,500,INC
2024-11-14,54.9,"5,000",INN
2024-11-14,12.9,"72,903",IPA
2024-11-14,2.7,"26,901",ITQ
2024-11-14,9.6,"59,300",IVS
2024-11-14,16.2,200,KDM
2024-11-14,11.7,"1,500",KHS
2024-11-14,6.1,0,KKC
2024-11-14,8.9,0,KMT
2024-11-14,4.6,0,KSD
2024-11-14,40.4,"19,211",KSF
2024-11-14,2.8,"12,900",KSQ
2024-11-14,11,0,KST
2024-11-14,50.6,"27,939",KSV
2024-11-14,42.8,0,KTS
2024-11-14,2.3,0,KTT
2024-11-14,26.3,"51,903",L14
2024-11-14,37.9,"23,202",L18
2024-11-14,39,"2,800",L40
2024-11-14,22,"1,117,428",LAS
2024-11-14,22.1,600,LBE
2024-11-14,21.7,0,LCD
2024-11-14,13,"1,312",LDP
2024-11-14,72.8,"64,801",LHC
2024-11-14,2.9,"386,912",LIG
2024-11-14,23.5,"3,000",MAC
2024-11-14,35,0,MAS
2024-11-14,3.1,"218,407",MBG
2024-11-14,27.3,"2,705,357",MBS
2024-11-14,12,0,MCC
2024-11-14,8.7,0,MCF
2024-11-14,9.9,"29,026",MCO
2024-11-14,9.8,"13,600",MDC
2024-11-14,26.1,0,MED
2024-11-14,6.6,"17,300",MEL
2024-11-14,9.2,200,MKV
2024-11-14,5.5,"1,649,242",MST
2024-11-14,19.4,0,MVB
2024-11-14,11,"229,450",NAG
2024-11-14,9.1,0,NAP
2024-11-14,9,"17,912",NBC
2024-11-14,12.2,0,NBP
2024-11-14,27,"4,300",NBW
2024-11-14,8.9,"202,600",NDN
2024-11-14,5.3,"3,501",NDX
2024-11-14,80,718,NET
2024-11-14,18,0,NFC
2024-11-14,29.7,0,NHC
2024-11-14,4.2,"1,131,138",NRC
2024-11-14,4.7,"37,712",NSH
2024-11-14,10.9,0,NST
2024-11-14,58,500,NTH
2024-11-14,60.8,"892,735",NTP
2024-11-14,8.5,"98,116",NVB
2024-11-14,5.8,"13,600",OCH
2024-11-14,5.1,"12,501",ONE
