Mã CK,GPC,GPC.1,GPC.2,GPC.3,GPC.4,HAF,HAF.1,HAF.2,HAF.3,HAF.4,HHG,HHG.1,HHG.2,HHG.3,HHG.4,HIG,HIG.1,HIG.2,HJC,HJC.1,HJC.2,HJC.3,HJC.4,HNB,HNF,HNF.1,HNF.2,HNF.3,HNF.4,HNI,HNI.1,HNI.2,HNI.3,HNI.4,HOT,HOT.1,HOT.2,HOT.3,HOT.4,HPD,HPI,HPI.1,HPI.2,HPI.3,HPI.4,HPW,HPW.1,HPW.2,HPW.3,HPW.4,HSM,HSM.1,HSM.2,HSM.3,HSM.4,HSV,HSV.1,HSV.2,HSV.3,HSV.4,HTM,HTM.1,HTM.2,HTM.3,HTM.4,HTT,HTT.1,HTT.2,HTT.3,HTT.4,HU4,HU4.1,HU4.2,HU4.3,HU4.4,HUG,HUG.1,HUG.2,HUG.3,HUG.4,IDP,IDP.1,IDP.2,IDP.3,IDP.4,ING,ING.1,ING.2,ING.3,ING.4
B. TÀI SẢN DÀI HẠN200,343348121917,282987510625,289983058067,283224296463,289983058067,167274037866,175001776964,180708303924,174952849799,180708303924,192795253446,182656132580,177773323787,182999997035,177773323787,165636737676,166075175308,166075175308,49980125868,48544072119,47008110867,48544072119,47008110867,46736169379,889125074175,870692867383,855880662451,870876993812,855880662451,117575558150,121860645928,123825854448,121860645928,123825854448,55927896292,55721516902,55975001029,55703702060,55975001029,102527841142,1535116173695,1592452927549,1601541103080,1592294080828,1601541103080,1473763305472,1425672718947,1401595233073,1425672718947,1401595233073,856515099547,835153460912,741043967261,764187348642,741043967261,78919596142,78461831987,76750212641,78121086087,76750212641,1930081089703,1939017438503,1956328575937,1938788316776,1956328575937,186501261200,186014785966,185508911589,186031291577,185508911589,6969819194,7129799604,7096359605,7129799604,7096359605,164300342857,165873568611,168016507850,165726230578,168016507850,2055796065399,2338911601595,2509844337745,2338911601595,2509844337745,2395707761393,2466714520038,2535535574253,2466714520038,2535535574253
I. Các khoản phải thu dài hạn210,556250000,556250000,556250000,556250000,556250000,663759559,2271830249,2271830249,2271830249,2271830249,500000000,500000000,500000000,500000000,500000000,56250000,63000000,63000000,,,,,,,143448120,109800000,109800000,109800000,109800000,,,,,,,,,,,,,,,,,,,,,,15667631377,15518969377,13967401921,14334475649,13967401921,,,,,,9067891587,8894079407,8857079407,8894079407,8857079407,39847490000,39847490000,39847490000,39847490000,39847490000,3449819000,3449819000,3449819000,3449819000,3449819000,,,,,,6527273543,6468990723,6906025043,6468990723,6906025043,34615350,34615350,34615350,34615350,34615350
1. Phải thu dài hạn của khách hàng211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7934879369,7811067189,7786067189,7811067189,7786067189,,,,,,,,,,,,,,,,,,,,,,,,,
2. Trả trước cho người bán dài hạn212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu nội bộ dài hạn214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay dài hạn215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Phải thu dài hạn khác216,556250000,556250000,556250000,556250000,556250000,663759559,2271830249,2271830249,2271830249,2271830249,500000000,500000000,500000000,500000000,500000000,56250000,63000000,63000000,,,,,,,143448120,109800000,109800000,109800000,109800000,,,,,,,,,,,,,,,,,,,,,,15667631377,15518969377,13967401921,14334475649,13967401921,,,,,,1229347600,1179347600,1167347600,1179347600,1167347600,40022014000,40022014000,40022014000,40022014000,40022014000,3449819000,3449819000,3449819000,3449819000,3449819000,,,,,,6527273543,6468990723,6906025043,6468990723,6906025043,34615350,34615350,34615350,34615350,34615350
7. Dự phòng phải thu dài hạn khó đòi219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-96335382,-96335382,-96335382,-96335382,-96335382,-174524000,-174524000,-174524000,-174524000,-174524000,,,,,,,,,,,,,,,,,,,,
II. Tài sản cố định220,11257050921,11096461254,10935871587,11096461254,10935871587,49786532130,48652437526,48034214952,48652437526,48034214952,180318933359,174820379907,169638920441,174820379907,169638920441,2897782857,3342542551,3342542551,49183193045,47080310920,45706484653,47080310920,45706484653,46540091077,713024152014,696890277445,682750787307,697074403874,682750787307,92040485060,96107954328,97204790025,96107954328,97204790025,43864143017,43212882534,43029253444,43244246172,43029253444,101145274630,25295563925,25047239654,24459119314,25047239654,24459119314,1424886373936,1374911823891,1363246662843,1374911823891,1363246662843,710891180436,694984652297,608424777940,626232626646,608424777940,78726372617,77951708726,76485456392,77985928610,76485456392,548521184679,542904852306,536077043643,542904852306,536077043643,1402749218,1332790987,1243433613,1349296598,1243433613,3152597063,3098767744,3056158019,3098767744,3056158019,80380816374,79460926371,83476810853,79460926371,83476810853,853210216366,832737515525,856691911949,832737515525,856691911949,,,,,
1. Tài sản cố định hữu hình221,8664436037,8518845410,8373254783,8518845410,8373254783,49786532130,48652437526,48034214952,48652437526,48034214952,180281320467,174787167016,169610107551,174787167016,169610107551,2127265378,2077401417,2077401417,48484498719,46402743662,45049821685,46402743662,45049821685,45757320673,662588929384,649200881019,636395407851,649366575494,636395407851,83199463910,87284474847,88398852213,87284474847,88398852213,37072596308,36431166825,36257368735,36462530463,36257368735,101145274630,25232680624,24998187620,24423898547,24998187620,24423898547,1424445445313,1374533895268,1361763492284,1374533895268,1361763492284,704375668449,688662589958,602900824455,619910564307,602900824455,18660626353,17948957629,16545700462,17983177513,16545700462,502394644928,496830076796,490032630368,496830076796,490032630368,1351597120,1285825389,1200654515,1302331000,1200654515,3152597063,3098767744,3056158019,3098767744,3056158019,80380816374,79460926371,83476810853,79460926371,83476810853,849053261826,828998400767,853370636973,828998400767,853370636973,,,,,
- Nguyên giá222,10723000000,10723000000,10723000000,10723000000,10723000000,131643797318,131643797318,131575355917,131643797318,131575355917,436022384650,419245507800,416093624372,419245507800,416093624372,7749053258,7796780531,7796780531,292393235226,292393235226,293006285226,292393235226,293006285226,189242485965,1056380817275,1060177661335,1062893578335,1060373441335,1062893578335,356151151011,361515721836,368361628725,361515721836,368361628725,201587712663,201475109367,202150091529,201475109367,202150091529,282805814678,62672857560,63035467560,63035467560,63035467560,63035467560,3650621309666,3651197821075,3686144993507,3651197821075,3686144993507,1612380708646,1613591682145,1491869914298,1513174441460,1491869914298,25724655970,25724655970,24611705970,25724655970,24611705970,779412443703,774432515822,770923744166,774432515822,770923744166,6054553818,6054553818,6054553818,6054553818,6054553818,13609757713,13609757713,13609757713,13609757713,13609757713,254118478057,255583541249,263349864135,254700729249,263349864135,1778692714008,1805252843612,1859212021758,1805252843612,1859212021758,,,,,
- Giá trị hao mòn lũy kế 223,-2058563963,-2204154590,-2349745217,-2204154590,-2349745217,-81857265188,-82991359792,-83541140965,-82991359792,-83541140965,-255741064183,-244458340784,-246483516821,-244458340784,-246483516821,-5621787880,-5719379114,-5719379114,-243908736507,-245990491564,-247956463541,-245990491564,-247956463541,-143485165292,-393791887891,-410976780316,-426498170484,-411006865841,-426498170484,-272951687101,-274231246989,-279962776512,-274231246989,-279962776512,-164515116355,-165043942542,-165892722794,-165012578904,-165892722794,-181660540048,-37440176936,-38037279940,-38611569013,-38037279940,-38611569013,-2226175864353,-2276663925807,-2324381501223,-2276663925807,-2324381501223,-908005040197,-924929092187,-888969089843,-893263877153,-888969089843,-7064029617,-7775698341,-8066005508,-7741478457,-8066005508,-277017798775,-277602439026,-280891113798,-277602439026,-280891113798,-4702956698,-4768728429,-4853899303,-4752222818,-4853899303,-10457160650,-10510989969,-10553599694,-10510989969,-10553599694,-173737661683,-176122614878,-179873053282,-175239802878,-179873053282,-929639452182,-976254442845,-1005841384785,-976254442845,-1005841384785,,,,,
2. Tài sản cố định thuê tài chính224,,,,,,,,,,,,,,,,,,,,,,,,,47476182508,44957189892,43850006510,44975621846,43850006510,,,,,,,,,,,,,,,,,,,,,,6391635015,6217113939,5437933657,6217113939,5437933657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Nguyên giá225,,,,,,,,,,,,,,,,,,,,,,,,,61917130990,58858210990,58858210990,58858210990,58858210990,,,,,,,,,,,,,,,,,,,,,,9437899266,9437899266,6014517953,9437899266,6014517953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn lũy kế 226,,,,,,,,,,,,,,,,,,,,,,,,,-14440948482,-13901021098,-15008204480,-13882589144,-15008204480,,,,,,,,,,,,,,,,,,,,,,-3046264251,-3220785327,-576584296,-3220785327,-576584296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Tài sản cố định vô hình227,2592614884,2577615844,2562616804,2577615844,2562616804,,,,,,37612892,33212891,28812890,33212891,28812890,770517479,1265141134,1265141134,698694326,677567258,656662968,677567258,656662968,782770404,2959040122,2732206534,2505372946,2732206534,2505372946,8841021150,8823479481,8805937812,8823479481,8805937812,6791546709,6781715709,6771884709,6781715709,6771884709,,62883301,49052034,35220767,49052034,35220767,440928623,377928623,1483170559,377928623,1483170559,123876972,104948400,86019828,104948400,86019828,60065746264,60002751097,59939755930,60002751097,59939755930,46126539751,46074775510,46044413275,46074775510,46044413275,51152098,46965598,42779098,46965598,42779098,,,,,,,,,,,4156954540,3739114758,3321274976,3739114758,3321274976,,,,,
- Nguyên giá228,2999808000,2999808000,2999808000,2999808000,2999808000,227000000,227000000,227000000,227000000,227000000,163000000,163000000,163000000,163000000,163000000,1000000000,1600000000,1600000000,4166531424,4166531424,4166531424,4166531424,4166531424,4138388682,4713277273,4713277273,4713277273,4713277273,4713277273,11368644950,11368644950,11368644950,11368644950,11368644950,10891918998,10891918998,10891918998,10891918998,10891918998,,1308101372,1308101372,1308101372,1308101372,1308101372,11595614773,11595614773,12820114773,11595614773,12820114773,773564443,773564443,773564443,773564443,773564443,60530464305,60530464305,60530464305,60530464305,60530464305,49600723114,49479819114,49479819114,49479819114,49479819114,167460000,167460000,167460000,167460000,167460000,,,,,,,,,,,22517498145,22517498145,22517498145,22517498145,22517498145,,,,,
- Giá trị hao mòn lũy kế 229,-407193116,-422192156,-437191196,-422192156,-437191196,-227000000,-227000000,-227000000,-227000000,-227000000,-125387108,-129787109,-134187110,-129787109,-134187110,-229482521,-334858866,-334858866,-3467837098,-3488964166,-3509868456,-3488964166,-3509868456,-3355618278,-1754237151,-1981070739,-2207904327,-1981070739,-2207904327,-2527623800,-2545165469,-2562707138,-2545165469,-2562707138,-4100372289,-4110203289,-4120034289,-4110203289,-4120034289,,-1245218071,-1259049338,-1272880605,-1259049338,-1272880605,-11154686150,-11217686150,-11336944214,-11217686150,-11336944214,-649687471,-668616043,-687544615,-668616043,-687544615,-464718041,-527713208,-590708375,-527713208,-590708375,-3474183363,-3405043604,-3435405839,-3405043604,-3435405839,-116307902,-120494402,-124680902,-120494402,-124680902,,,,,,,,,,,-18360543605,-18778383387,-19196223169,-18778383387,-19196223169,,,,,
III. Bất động sản đầu tư230,59014770857,58875958358,58737145859,58875958358,58737145859,,,,,,,,,,,15680620000,15680620000,15680620000,,,,,,,,,,,,,,,,,,,,,,,152577204691,151607424747,157435219509,151607424747,157435219509,,,,,,,,,,,,,,,,97261788784,96343329901,95424871018,96343329901,95424871018,55291431687,54879144266,54466856845,54879144266,54466856845,,,,,,,,,,,,,,,,,,,,
- Nguyên giá231,62300000000,62300000000,62300000000,62300000000,62300000000,,,,,,,,,,,15680620000,15680620000,15680620000,,,,,,,,,,,,,,,,,,,,,,,535045215839,476822908679,476822908679,476822908679,476822908679,,,,,,,,,,,,,,,,131527016822,131527016822,131527016822,131527016822,131527016822,65965987380,65965987380,65965987380,65965987380,65965987380,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn lũy kế232,-3285229143,-3424041642,-3562854141,-3424041642,-3562854141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-382468011148,-325215483932,-319387689170,-325215483932,-319387689170,,,,,,,,,,,,,,,,-34265228038,-35183686921,-36102145804,-35183686921,-36102145804,-10674555693,-11086843114,-11499130535,-11086843114,-11499130535,,,,,,,,,,,,,,,,,,,,
IV. Tài sản dở dang dài hạn240,22015522168,22366732624,29498295771,22366732624,29498295771,105731843814,114649502094,122387432962,114649502094,122387432962,10349024649,5586494750,5930359205,5930359205,5930359205,,,,524801488,524801488,524801488,524801488,524801488,196078302,450000000,600000000,870668823,600000000,870668823,21042418477,21042418477,21042418477,21042418477,21042418477,5229898151,5308662180,5610445606,5308662180,5610445606,,1292892193856,1351107579198,1351105179129,1351107579198,1351105179129,44960979449,46637042112,33890109717,46637042112,33890109717,13796296,,,,,,,,,,826847058540,844317059362,844602236564,844317059362,844602236564,89942061027,89942061027,89942061027,89942061027,89942061027,,,,,,4128664820,4128664820,4128664820,4128664820,4128664820,869160375741,1168727292865,1054367127512,1168727292865,1054367127512,2395670796043,2466679317188,2535500958903,2466679317188,2535500958903
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn241",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540179418746,543854317774,543961910367,543854317774,543961910367,79453592845,79453592845,79453592845,79453592845,79453592845,,,,,,,,,,,,,,,,2395670796043,2466679317188,2535500958903,2466679317188,2535500958903
2. Chi phí xây dựng cơ bản dở dang242,22015522168,22366732624,29498295771,22366732624,29498295771,105731843814,114649502094,122387432962,114649502094,122387432962,10349024649,5586494750,5930359205,5930359205,5930359205,,,,524801488,524801488,524801488,524801488,524801488,196078302,450000000,600000000,870668823,600000000,870668823,21042418477,21042418477,21042418477,21042418477,21042418477,5229898151,5308662180,5610445606,5308662180,5610445606,,1292892193856,1351107579198,1351105179129,1351107579198,1351105179129,44960979449,46637042112,33890109717,46637042112,33890109717,13796296,,,,,,,,,,286667639794,300462741588,300640326197,300462741588,300640326197,10488468182,10488468182,10488468182,10488468182,10488468182,,,,,,4128664820,4128664820,4128664820,4128664820,4128664820,869160375741,1168727292865,1054367127512,1168727292865,1054367127512,,,,,
V. Đầu tư tài chính dài hạn250,250003114711,189611402729,189848188567,189848188567,189848188567,2836574679,2629719211,2624429076,2624429076,2624429076,1277544877,1400301189,1400301189,1400301189,1400301189,96408726713,96408726713,96408726713,,,,,,,,,,,,,,,,,,,,,,65000000,64029354991,64029354991,64029354991,63870508270,64029354991,700000000,700000000,700000000,700000000,700000000,20764022633,17908002107,15469070301,17908002107,15469070301,,,,,,199577866826,202749743444,214539567040,202520621718,214539567040,,,,,,,,,,,70755155490,70755155490,70755155490,70755155490,70755155490,204313613441,203724421118,203235210081,203724421118,203235210081,,,,,
1. Đầu tư vào công ty con251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. Đầu tư vào công ty liên kết, liên doanh252",200870902147,182410552363,182654507568,182654507568,182654507568,2063965795,1857110327,1851820192,1851820192,1851820192,,,,,,85296033079,85296033079,85296033079,,,,,,,,,,,,,,,,,,,,,,,47331000000,47331000000,47331000000,47331000000,47331000000,,,,,,3657647633,3332556806,893625000,3332556806,893625000,,,,,,134569169722,137741046340,140086014258,137511924614,140086014258,,,,,,,,,,,63501155490,63501155490,63501155490,63501155490,63501155490,,,,,,,,,,
3. Đầu tư góp vốn vào đơn vị khác253,51110000000,7250000000,7250000000,7250000000,7250000000,1173049254,1173049254,1173049254,1173049254,1173049254,,,,,,11112693634,11112693634,11112693634,,,,,,,,,,,,,,,,,,,,,,65000000,16698354991,16698354991,16698354991,16698354991,16698354991,,,,,,24000000000,24000000000,24000000000,24000000000,24000000000,,,,,,66303697104,66303697104,75748552782,66303697104,75748552782,,,,,,,,,,,9730994000,9730994000,9730994000,9730994000,9730994000,,,,,,,,,,
4. Dự phòng đầu tư tài chính dài hạn254,-1977787436,-49149634,-56319001,-56319001,-56319001,-400440370,-400440370,-400440370,-400440370,-400440370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-158846721,,,,,,,-6893625000,-9424554699,-9424554699,-9424554699,-9424554699,,,,,,-1295000000,-1295000000,-1295000000,-1295000000,-1295000000,,,,,,,,,,,-2476994000,-2476994000,-2476994000,-2476994000,-2476994000,,,,,,,,,,
5. Đầu tư nắm giữ đến ngày đáo hạn255,,,,,,,,,,,1277544877,1400301189,1400301189,1400301189,1400301189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700000000,700000000,700000000,700000000,700000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204313613441,203724421118,203235210081,203724421118,203235210081,,,,,
6. Đầu tư dài hạn khác,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VI. Tài sản dài hạn khác260,501413260,480705660,407306283,480705660,407306283,8255327684,6798287884,5390396685,6754650854,5390396685,349750561,348956734,303742952,348956734,303742952,50593358106,50580286044,50580286044,272131335,938959711,776824726,938959711,776824726,,175507474041,173092789938,172149406321,173092789938,172149406321,4492654613,4710273123,5578645946,4710273123,5578645946,6833855124,7199972188,7335301979,7150793708,7335301979,1317566512,321856232,661328959,4512230137,661328959,4512230137,3215952087,3423852944,3758460513,3423852944,3758460513,108864570070,106472781072,103137874423,105622558887,103137874423,193223525,510123261,264756249,135157477,264756249,217324796861,213451784808,227595102141,213451784808,227595102141,17529268,13299686,9070104,13299686,9070104,367403131,581212860,590382586,581212860,590382586,9035706173,11528821930,9655876687,11381483897,9655876687,122584586308,127253381364,388644063160,127253381364,388644063160,2350000,587500,,587500,
1. Chi phí trả trước dài hạn261,501413260,480705660,407306283,480705660,407306283,8255327684,6798287884,5390396685,6754650854,5390396685,349750561,348956734,303742952,348956734,303742952,593358106,580286044,580286044,272131335,938959711,776824726,938959711,776824726,,175507474041,173092789938,172149406321,173092789938,172149406321,4492654613,4710273123,5578645946,4710273123,5578645946,6808764216,7174881280,7316483799,7150793708,7316483799,1317566512,321856232,661328959,4512230137,661328959,4512230137,3215952087,3423852944,3758460513,3423852944,3758460513,108864570070,106472781072,103137874423,105622558887,103137874423,193223525,510123261,264756249,135157477,264756249,217324796861,213451784808,227595102141,213451784808,227595102141,17529268,13299686,9070104,13299686,9070104,367403131,581212860,590382586,581212860,590382586,9035706173,11528821930,9655876687,11381483897,9655876687,56120331784,55566792543,316957474339,55566792543,316957474339,2350000,587500,,587500,
2. Tài sản thuế thu nhập hoãn lại262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25090908,25090908,18818180,,18818180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66464254524,71686588821,71686588821,71686588821,71686588821,,,,,
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn263",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Tài sản dài hạn khác268,,,,,,,,,,,,,,,,50000000000,50000000000,50000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Lợi thế thương mại269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VII. Lợi thế thương mại (áp dụng trước năm 2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313898735,269056059,44842676,89685353,44842676,,,,,,31480502426,30356589275,29232676124,30356589274,29232676124,,,,,,,,,,,,,,,,,,,,,,,,,
TỔNG CỘNG TÀI SẢN280,643335399975,758794934413,759292348805,758871720251,759292348805,283397111915,279779124736,285999757325,279773834601,285999757325,201277177878,187361765763,181662308225,187345780884,181662308225,794357962372,885981162630,885981162630,264739096870,354251923953,332069579106,354251923953,332069579106,139297041763,1805519626872,1687359863083,1861821892975,1680232867171,1861821892975,631274777895,718453449531,718145202616,718453449531,718145202616,72784011519,71888387375,77622323076,71335211449,77622323076,161312737179,2406769617475,2443699614303,2446624332218,2441418337570,2446624332218,2146081146123,2104637678708,2226021426460,2104637678708,2226021426460,1391440266835,1298112770487,1226855086587,1209628886883,1226855086587,341492180268,346989067475,393300222224,346989900805,393300222224,3303678937817,3335351134071,3349638889631,3337464803961,3349638889631,204741136375,203301871200,201643741812,203349270302,201643741812,735443737051,773766999219,731154624818,773646623464,731154624818,553868335014,560709926932,583615152702,559549954230,583615152702,5311120106542,5660590679873,6282289979745,5660590679873,6282289979745,2702038443280,2777624998410,2853388948415,2777624998410,2853388948415
NGUỒN VỐN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. NỢ PHẢI TRẢ300,48770527697,162925204667,162354097459,162795391898,162354097459,125574662332,127513982588,135328346317,127513982588,135328346317,90646829302,85642782724,88237001585,85906881605,88237001585,351905272071,447622226389,447622226389,93323657628,180340022574,152748949893,180340022574,152748949893,32216607889,1206254445745,1080986009745,1210164808544,1073877694821,1210164808544,202181068207,316504315252,299971337849,316504315252,299971337849,24265204336,21972976888,24421397929,21533443228,24421397929,53979551420,2037252413735,2050399408771,2039163357275,2050112080009,2039163357275,1056286983746,1086669683573,1168874882228,1086669683573,1168874882228,981574250655,942066910426,846267594173,834760151731,846267594173,171194612474,176199970742,221610085620,176209368982,221610085620,1069113156132,1116077155293,1144553122998,1116194201416,1144553122998,82933719996,83495628000,84048076048,83751073471,84048076048,543947494435,580845230000,530956782426,580724854245,530956782426,272624024141,294455561759,310836709765,293406409047,310836709765,2539799729964,2601287402683,2923419220726,2601287402683,2923419220726,2725250047337,2802434066401,2880014859983,2802434066401,2880014859983
I. Nợ ngắn hạn310,38994773701,153160031255,151094746078,151536040517,151094746078,101778689439,103626987195,111588435712,103626987195,111588435712,47204358302,81600311724,87923674885,83600311724,87923674885,351405272071,447122226389,447122226389,93323657628,180340022574,152748949893,180340022574,152748949893,32216607889,872961040940,765431389135,897731085761,760736914550,897731085761,202181068207,316504315252,299971337849,316504315252,299971337849,23796687351,21539490298,24001429019,21131024818,24001429019,30979551420,1898592001423,1917003963220,1901857735353,1911767204807,1901857735353,225637392193,258734955644,340940154299,258734955644,340940154299,570298170842,561084088156,530580608403,497426293368,530580608403,171194612474,176199970742,221610085620,176209368982,221610085620,792863729238,840825190117,958425667853,930527738344,958425667853,70681219425,71243127429,71795575477,71526184809,71795575477,371952307225,412769529790,393182183471,431593886486,393182183471,272624024141,294455561759,310836709765,293406409047,310836709765,2469560617196,2393333368671,2459976127591,2393333368671,2459976127591,359091727637,435925746701,1966006560283,1890925746701,1966006560283
1. Phải trả người bán ngắn hạn311,241876164,1526075438,1478009472,1526075438,1478009472,4534814443,7258120509,8814457935,7258120509,8814457935,6349489789,6336705780,7337593018,6336705780,7337593018,90645348493,102541671171,102541671171,28650031887,54378936473,40918333928,54378936473,40918333928,2973135950,107068546038,112133653201,138922478464,112202804701,138922478464,41016989318,48764045602,45397482307,48764045602,45397482307,,,,4259150783,,207059938,3776963958,6856247564,7422850500,6856247564,7422850500,19994339144,13560954299,19577546369,13560954299,19577546369,79533485331,176888493007,227309033259,154603370131,227309033259,172985436,,21021177267,4158000,21021177267,36231951160,35239172505,33203481384,35387432564,33203481384,1757914320,1465434435,1520890869,1465434438,1520890869,32707432149,38886545294,37766157536,38886545294,37766157536,29555448355,31556353457,38169433318,31556352457,38169433318,688657459249,687087862802,814038730748,687087862802,814038730748,3821444634,3829434474,3815757879,3829434474,3815757879
2. Người mua trả tiền trước ngắn hạn312,,2275550,875000,2275550,875000,75631382,15334117,21957399,15334117,21957399,62268000,74012000,120009000,74012000,120009000,49905666424,162525201487,162525201487,6000000000,6000036005,6475824000,6000036005,6475824000,217123250,3328375211,3991789355,8847866963,3991789355,8847866963,47480157055,47339531639,28622801895,47339531639,28622801895,4565721804,4259150783,3719913068,824733985,3719913068,,255542637,256443820,214988133,256443820,214988133,1701405760,1049171340,1896268698,1049171340,1896268698,4316241467,11271219888,3298301006,4952990709,3298301006,,,,,,2654929298,2637416828,1944277432,2637416828,1944277432,2656305160,2868406312,2742613972,2868406312,2742613972,83482893220,95558836033,70369992620,95558836033,70369992620,664731102,459353113,487917303,459353113,487917303,42914991528,51881540835,31901243271,51881540835,31901243271,,,,,
3. Thuế và các khoản phải nộp Nhà nước313,437551662,972664983,1049055784,963325837,1049055784,4599997551,748915952,5439564038,748915952,5439564038,195773311,345679161,298514397,345679161,298514397,1268193202,2349687784,2349687784,450250776,1312347130,4118364875,1312347130,4118364875,698660607,8140879969,12341645126,31586677017,12336974879,31586677017,8036856204,10464902575,9384353220,10464902575,9384353220,2007944928,1099879985,804731655,6180492662,804731655,803155335,1191694948,1269544544,1345419370,1269544544,1345419370,4811796293,3295330595,3112384880,3258783682,3112384880,1434085771,3797493920,7144456744,3797493920,7144456744,891909527,1054987028,698905708,1058121316,698905708,2379690487,2556402249,5613311355,2556402249,5613311355,14511164422,14635517073,14694604838,14635517073,14694604838,207370892,208874251,7771420180,208874251,7771420180,3341042666,3876946374,7527206785,3849241381,7527206785,66498715487,88765135160,90198315138,88765135160,90198315138,31352602,34176391,41161950,34176391,41161950
4. Phải trả người lao động314,181299,523040199,181299,523040199,181299,538572382,548985240,549824933,548985240,549824933,2373070000,2251889000,2260117000,2251889000,2260117000,4469914223,2013648628,2013648628,2097163279,5077806219,24027314921,5077806219,24027314921,14293421385,25315610299,24825662740,30761391598,24825662740,30761391598,61587652564,131668674496,164785799200,131668674496,164785799200,9143233565,6079337027,8514277683,4982673565,8514277683,,,1275513616,1288781605,1275513616,1288781605,31855508685,48865315717,75592195985,48865315717,75592195985,16661400759,16586375668,17951511017,16586375668,17951511017,133937963,187921073,,,,3727344814,3807102226,3782311456,3807102226,3782311456,,,,,,218668010,511413984,784473801,511413984,784473801,30011619647,42884463236,54401791034,41929321816,54401791034,38008737147,65353693353,89303497613,65353693353,89303497613,124320214,102815700,107425219,102815700,107425219
5. Chi phí phải trả ngắn hạn315,,2671233,,37288522,,150969100,191799800,179796600,191799800,179796600,4486587369,284835000,,284835000,,5649516642,9597205524,9597205524,634316297,4860563820,16282156122,4860563820,16282156122,3650500000,76245002591,46755298618,90721099499,46528774391,90721099499,,,,,,4116163206,4887271965,5361303558,4015583096,5361303558,11230303,1608269007854,1608251588149,1608191324444,1608251588149,1608191324444,19478552178,4789637398,19225366427,4789637398,19225366427,4296911564,4920759895,5662576829,4626030632,5662576829,,,,169450537,,22145574172,10487078112,11049244415,10487078112,11049244415,17899335061,18629698677,19475404835,18915144145,19475404835,8881436153,8638607938,12912752174,8638607938,12912752174,,,,,,424519468679,436421754583,415651916487,436421754583,415651916487,,,,,
