Mã CK,XHC,XHC.1,XHC.2,XHC.3,XHC.4,XMC,XMC.1,XMC.2,XMC.3,XMC.4,XMP,XMP.1,XMP.2,XMP.3,XMP.4
Kỳ/năm,Quý 1/2024,Quý 2/2024,Quý 3/2024,6 tháng/2024,9 tháng/2024,Quý 1/2024,Quý 2/2024,Quý 3/2024,6 tháng/2024,9 tháng/2024,Quý 1/2024,Quý 2/2024,Quý 3/2024,6 tháng/2024,9 tháng/2024
Trạng thái hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Trạng thái kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Soát xét,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Soát xét,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Soát xét,Chưa kiểm toán
Công ty kiểm toán,,,,RSM,,,,,NVT,,,,,AASC,
Ý kiến kiểm toán,,,,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,,,,,Chấp nhận toàn phần,,,,,Chấp nhận toàn phần,
Ngày công bố báo cáo,23-04-2024,23-07-2024,22-10-2024,16-08-2024,22-10-2024,03-05-2024,01-08-2024,30-10-2024,05-09-2024,30-10-2024,22-04-2024,23-07-2024,22-10-2024,07-08-2024,22-10-2024
Ngày ký kiểm toán,,,,15-08-2024,,,,,28-08-2024,,,,,05-08-2024,
CÂN ĐỐI KẾ TOÁNMS,,,,,,,,,,,,,,,
TÀI SẢN,,,,,,,,,,,,,,,
B. TÀI SẢN DÀI HẠN200,210269243823,205286630559,201816723621,205834215859,201816723621,665271075376,641357420446,712348291278,747802298517,712348291278,386572355861,381849428211,377246882467,381849428211,377246882467
I. Các khoản phải thu dài hạn210,16490046751,16490046751,15990046751,15990046751,15990046751,16060000000,16060000000,115998244656,115383195302,115998244656,,,,,
1. Phải thu dài hạn của khách hàng211,15623247251,15623247251,15623247251,15623247251,15623247251,,,,,,,,,,
2. Trả trước cho người bán dài hạn212,,,,,,,,,,,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc213,,,,,,,,,,,,,,,
4. Phải thu nội bộ dài hạn214,,,,,,,,,,,,,,,
5. Phải thu về cho vay dài hạn215,,,,,,,,,,,,,,,
6. Phải thu dài hạn khác216,2366799500,2366799500,2366799500,2366799500,2366799500,22003230232,22003230232,121941474888,121326425534,121941474888,,,,,
7. Dự phòng phải thu dài hạn khó đòi219,-1500000000,-1500000000,-2000000000,-2000000000,-2000000000,-5943230232,-5943230232,-5943230232,-5943230232,-5943230232,,,,,
II. Tài sản cố định220,103996678051,99032018900,95542427752,100174302015,95542427752,320192726017,309699267565,301500358631,307934026960,301500358631,380366074207,375518503747,370708427625,375518503747,370708427625
1. Tài sản cố định hữu hình221,102853886424,97971387544,94563956667,99113670659,94563956667,319920677595,309473617250,301314869853,307708376645,301314869853,360843340387,356111976675,351418107303,356111976675,351418107303
- Nguyên giá222,351232363383,351814410929,352017360124,351939881124,352017360124,770518809703,769820156395,769583156395,770387510213,769583156395,463972820519,463972820519,463972820519,463972820519,463972820519
- Giá trị hao mòn lũy kế 223,-248378476959,-253843023385,-257453403457,-252826210465,-257453403457,-450598132108,-460346539145,-468268286542,-462679133568,-468268286542,-103129480132,-107860843844,-112554713216,-107860843844,-112554713216
2. Tài sản cố định thuê tài chính224,,,,,,,,,,,,,,,
- Nguyên giá225,,,,,,,,,,,,,,,
- Giá trị hao mòn lũy kế 226,,,,,,,,,,,,,,,
3. Tài sản cố định vô hình227,1142791627,1060631356,978471085,1060631356,978471085,272048422,225650315,185488778,225650315,185488778,19522733820,19406527072,19290320322,19406527072,19290320322
- Nguyên giá228,4639933998,4639933998,4639933998,4639933998,4639933998,4813880647,4813880647,4813880647,4813880647,4813880647,21818442843,21818442843,21818442843,21818442843,21818442843
- Giá trị hao mòn lũy kế 229,-3497142371,-3579302642,-3661462913,-3579302642,-3661462913,-4541832225,-4588230332,-4628391869,-4588230332,-4628391869,-2295709023,-2411915771,-2528122521,-2411915771,-2528122521
III. Bất động sản đầu tư230,,,,,,206385880509,205101171837,188371211172,205101171837,188371211172,,,,,
- Nguyên giá231,,,,,,240651605904,240651605904,221854206252,240651605904,221854206252,,,,,
- Giá trị hao mòn lũy kế232,,,,,,-34265725395,-35550434067,-33482995080,-35550434067,-33482995080,,,,,
IV. Tài sản dở dang dài hạn240,52606355038,53958585193,55901802950,53958670477,55901802950,13640689010,14124748412,14223356076,14124748404,14223356076,,,,,
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn241",,,,,,,,,,,,,,,
2. Chi phí xây dựng cơ bản dở dang242,52606355038,53958585193,55901802950,53958670477,55901802950,13640689010,14124748412,14223356076,14124748404,14223356076,,,,,
V. Đầu tư tài chính dài hạn250,27336701068,27336701068,27336701068,27336701068,27336701068,103459658890,90951206135,85532025785,90459495482,85532025785,,,,,
1. Đầu tư vào công ty con251,,,,,,,,,,,,,,,
"2. Đầu tư vào công ty liên kết, liên doanh252",27336701068,27336701068,27336701068,27336701068,27336701068,101467508890,88959056135,88467345482,88467345482,88467345482,,,,,
3. Đầu tư góp vốn vào đơn vị khác253,,,,,,722150000,722150000,722150000,722150000,722150000,,,,,
4. Dự phòng đầu tư tài chính dài hạn254,,,,,,,,-3657469697,,-3657469697,,,,,
5. Đầu tư nắm giữ đến ngày đáo hạn255,,,,,,1270000000,1270000000,,1270000000,,,,,,
6. Đầu tư dài hạn khác,,,,,,,,,,,,,,,
VI. Tài sản dài hạn khác260,9839462915,8469278647,7045745100,8374495548,7045745100,5532120950,5421026497,6723094958,14799660532,6723094958,6206281654,6330924464,6538454842,6330924464,6538454842
1. Chi phí trả trước dài hạn261,9839462915,8469278647,7045745100,8374495548,7045745100,2644250236,2656049316,3958117777,12395796502,3958117777,6206281654,6330924464,6538454842,6330924464,6538454842
2. Tài sản thuế thu nhập hoãn lại262,,,,,,2887870714,2764977181,2764977181,2403864030,2764977181,,,,,
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn263",,,,,,,,,,,,,,,
4. Tài sản dài hạn khác268,,,,,,,,,,,,,,,
5. Lợi thế thương mại269,,,,,,,,,,,,,,,
VII. Lợi thế thương mại (áp dụng trước năm 2015),,,,,,,,,,,,,,,
TỔNG CỘNG TÀI SẢN280,732222974623,682227391960,661114355559,683092208814,661114355559,3313492620004,3279500283751,3108510811286,3242609744665,3108510811286,404014616742,401479128927,389499786678,401479128927,389499786678
NGUỒN VỐN,,,,,,,,,,,,,,,
A. NỢ PHẢI TRẢ300,417556449941,318603065808,300232075148,319758380655,300232075148,2435181401848,2390691048097,2225830098062,2359615626520,2225830098062,227008715297,220360765648,209913509515,220360765648,209913509515
I. Nợ ngắn hạn310,370305690526,272652306393,273021817453,289058122960,273021817453,2348674180661,2015661665630,1855170539227,1989011127685,1855170539227,68308595820,67743891869,63379881434,67743891869,63379881434
1. Phải trả người bán ngắn hạn311,36960287142,54108490297,68650271207,54105466296,68650271207,496987398375,543710926689,495425885909,533163884701,495425885909,749059539,177457500,599886838,177457500,599886838
2. Người mua trả tiền trước ngắn hạn312,13055226339,13038539480,10145619118,13038539480,10145619118,158962097577,221687115384,245056339590,226291004190,245056339590,,,,,
3. Thuế và các khoản phải nộp Nhà nước313,278268551,172929371,371465240,172929371,371465240,8616238158,12388889374,8486645911,12372222719,8486645911,1400644763,2060012897,2452657414,2060012897,2452657414
4. Phải trả người lao động314,4417324505,4529228147,5566967383,5897069000,5566967383,24759377757,22540731972,22255352946,23029357972,22255352946,,,,,
5. Chi phí phải trả ngắn hạn315,372602313,1947285592,672990613,1737783585,672990613,115078521769,106817682168,146582096604,96742211119,146582096604,1872758099,5856935712,2914506852,5856935712,2914506852
6. Phải trả nội bộ ngắn hạn316,,,,,,,,,,,,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng317,,,,,,,,,,,,,,,
15. Doanh thu chưa thực hiện ngắn hạn318,,,,,,49090908,178496971,227206062,71060608,227206062,,,,,
9. Phải trả ngắn hạn khác319,7193171838,8043939882,5329966322,8043939884,5329966322,77704158397,93338003075,76159635059,86702037160,76159635059,4180818869,453976400,1075373800,453976400,1075373800
10. Vay và nợ thuê tài chính ngắn hạn320,307717005797,188503089583,180062733529,203753591303,180062733529,1450337496113,999683786055,844374422199,993307246196,844374422199,59924654550,59084469360,56303201530,59084469360,56303201530
11. Dự phòng phải trả ngắn hạn321,,,,,,661653831,296309666,,296309666,,,,,,
